"SALE.TYPE","SOLD.DATE","PROPERTY.TYPE","ADDRESS","CITY","STATE","ZIP","PRICE","BEDS","BATHS","LOCATION","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","DAYS.ON.MARKET","X..SQUARE.FEET","HOA.MONTH","STATUS","NEXT.OPEN.HOUSE.START.TIME","NEXT.OPEN.HOUSE.END.TIME","URL..SEE.http...www.redfin.com.buy.a.home.comparative.market.analysis.FOR.INFO.ON.PRICING.","SOURCE","MLS.","FAVORITE","INTERESTED","LATITUDE","LONGITUDE","YEAR.DOWNLOADED","X"
"For-Sale-by-Owner Listing",NA,"Single Family Residential","5323 Kenrick Manor Ct","St. Louis","MO","63119",65005711,4,3,"Saint Louis",2112,12196,1983,62,30779,NA,"Active","","","http://www.redfin.com/MO/St-Louis/5323-Kenrick-Manor-Ct-63119/home/93525247","Fizber.com","4986470","N","Y",38.5831202,-90.3355495,2018,1242
"MLS Listing",NA,"Multi-Family (2-4 Unit)","1468 Union Blvd","St Louis","MO","63113",24900,5,2,"North",2436,4443,1898,72,10,NA,"Active","","","http://www.redfin.com/MO/St-Louis/1468-Union-Blvd-63113/home/93721600","MARIS","18084706","N","Y",38.6648628,-90.2681479,2018,43
"MLS Listing",NA,"Single Family Residential","1604 Tamarack","St Charles","MO","63301",229000,4,3,"Orchard Farm",1641,10977,1979,108,140,NA,"Active","","","http://www.redfin.com/MO/St-Charles/1604-Tamarack-Dr-63301/home/103322833","MARIS","18074974","N","Y",38.8191393,-90.4887109,2018,1400
"MLS Listing",NA,"Condo/Co-op","601 Westgate Ave Unit 601A","University City","MO","63130",200000,2,3,"University City",1195,NA,1928,126,167,459,"Active","","","http://www.redfin.com/MO/University-City/601-Westgate-Ave-63130/unit-601A/home/93327614","MARIS","18066342","N","Y",38.6559054,-90.3043244,2018,631
"MLS Listing",NA,"Condo/Co-op","4501 Lindell Unit 8G","St Louis","MO","63108",334999,2,2,"Central West",1311,NA,NA,80,256,934,"Active","","","http://www.redfin.com/MO/St-Louis/4501-Lindell-Blvd-63108/unit-8G/home/62733588","MARIS","18082432","N","Y",38.642951,-90.2581168,2018,886
"New Construction Plan",NA,"Single Family Residential","Aspen","Saint Charles","MO","63301",215900,3,2,"Manors at Charlestowne Place",NA,NA,NA,NA,NA,NA,"Active","","","http://www.redfin.com/MO/Saint-Charles/Manors-at-Charlestowne-Place/Aspen/home/147730163","NewHomeSource.com","Plan-71562420","N","Y",38.8329442,-90.4700212,2018,1513
"MLS Listing",NA,"Multi-Family (2-4 Unit)","5932 Hamilton Ter","St Louis","MO","63112",18500,2,2,"Central West",2024,2614,1915,151,9,NA,"Active","","","http://www.redfin.com/MO/St-Louis/5932-Hamilton-Ter-63112/home/93723387","MARIS","19069219","N","Y",38.6695534,-90.2867369,2020,1970
"MLS Listing",NA,"Condo/Co-op","7741 Kingsbury Blvd #32","Clayton","MO","63105",295000,2,3,"Clayton",1567,1725,1942,507,188,515,"Active","","","http://www.redfin.com/MO/St-Louis/7741-Kingsbury-Blvd-63105/unit-32/home/93325832","MARIS","17057897","N","Y",38.6562579,-90.3352019,2018,829
"MLS Listing",NA,"Single Family Residential","1472 Rowan Ave","St Louis","MO","63112",29000,3,1,"Central West",1125,3746,1908,121,26,NA,"Active","","","http://www.redfin.com/MO/St-Louis/1472-Rowan-Ave-63112/home/93756840","MARIS","19074364","N","Y",38.6722841,-90.2817114,2020,1955
"MLS Listing",NA,"Multi-Family (5+ Unit)","1322 Leroy Ave","St Louis","MO","63133",190000,NA,NA,"Normandy",6900,8625,1965,129,28,NA,"Active","","","http://www.redfin.com/MO/St-Louis/1322-Leroy-Ave-63133/home/169287637","MARIS","19074543","N","Y",38.6759385,-90.3102446,2020,1959
"MLS Listing",NA,"Single Family Residential","345 Par","St Louis","MO","63122",719900,5,4,"Kirkwood",2300,8625,NA,35,313,NA,"Active","","","http://www.redfin.com/MO/Kirkwood/345-Par-Ln-63122/home/93528786","MARIS","18092307","N","Y",38.592737,-90.399768,2018,1126
"MLS Listing",NA,"Condo/Co-op","4220 Mcpherson #102","St Louis","MO","63108",157500,2,2,"Central West",904,NA,1928,90,174,190,"Active","","","http://www.redfin.com/MO/St-Louis/4220-McPherson-Ave-63108/unit-102/home/62752792","MARIS","18080548","N","Y",38.6425777,-90.248028,2018,480
"New Construction Plan",NA,"Single Family Residential","The Huntbridge","Saint Louis","MO","63141",1824000,4,5,"Conway Estates",4584,NA,NA,NA,398,NA,"Active","","","http://www.redfin.com/MO/St-Louis/Conway-Estates/The-Huntbridge/home/169955255","NewHomeSource.com","Plan-111567124","N","Y",38.6493304,-90.4972698,2020,2127
"MLS Listing",NA,"Single Family Residential","4039 Greer Ave","St Louis","MO","63107",3900,5,2,"North",2500,3746,1906,127,2,NA,"Active","","","http://www.redfin.com/MO/St-Louis/4039-Greer-Ave-63107/home/93753943","MARIS","18070398","N","Y",38.6617413,-90.2288444,2018,3
